sensor_type,event_timestamp_ns,elapsed_realtime_ns,wall_time_ms,x,y,z,accuracy
android.sensor.accelerometer,1468038301874895,1468038309937792,1775212846168,-0.2835495,9.038888,4.107878,3
android.sensor.gyroscope,1468038312656510,1468038320413886,1775212846179,-0.030237807,-0.04734202,0.03054324,3
android.sensor.accelerometer,1468038330368385,1468038338286490,1775212846197,-0.21415763,8.991031,4.093521,3
android.sensor.gyroscope,1468038336401093,1468038344574146,1775212846203,-0.011911863,0.15790854,0.14172062,3
android.sensor.gyroscope,1468038360145625,1468038366520396,1775212846225,0.03329213,0.008857539,0.12828161,3
android.sensor.accelerometer,1468038358861822,1468038366625448,1775212846225,0.26679972,8.763713,4.404588,3
android.sensor.gyroscope,1468038383890156,1468038390980032,1775212846249,-0.04734202,-0.0754418,0.021991132,3
android.sensor.accelerometer,1468038387355260,1468038395455344,1775212846254,0.39840496,8.720642,4.000201,3
android.sensor.gyroscope,1468038407634739,1468038414292375,1775212846273,-0.040011644,0.012522728,0.0097738365,3
android.sensor.accelerometer,1468038415848750,1468038424033261,1775212846283,0.17826529,9.038888,4.4021955,3
android.sensor.gyroscope,1468038431379270,1468038437985917,1775212846297,0.047952887,0.13225223,0.09529491,3
android.sensor.accelerometer,1468038444342239,1468038452359094,1775212846311,0.2117648,9.019745,4.086343,3
android.sensor.gyroscope,1468038455123854,1468038461550709,1775212846320,0.044287696,0.21777329,0.15271619,3
android.sensor.accelerometer,1468038472835677,1468038480770709,1775212846339,0.58504516,8.797213,4.371089,3
android.sensor.gyroscope,1468038478868385,1468038485984719,1775212846345,0.08460477,0.26908594,0.10384701,3
android.sensor.gyroscope,1468038502612968,1468038509026230,1775212846368,0.13591741,0.1725693,0.02932151,3
android.sensor.accelerometer,1468038501329166,1468038509163521,1775212846368,0.43908295,9.093923,4.3854456,3
android.sensor.gyroscope,1468038526357500,1468038532845500,1775212846391,-0.024129158,-0.0033597562,0.050090913,3
android.sensor.accelerometer,1468038529822604,1468038538024355,1775212846397,0.34337005,9.127422,3.5814574,3
android.sensor.gyroscope,1468038550102083,1468038556623677,1775212846415,-0.15241076,-0.004581486,0.028099779,3
android.sensor.accelerometer,1468038558316093,1468038566195604,1775212846425,0.49651068,9.02453,4.258626,3
android.sensor.gyroscope,1468038573846614,1468038580231542,1775212846439,0.0051923506,0.09682207,0.0012217296,3
android.sensor.accelerometer,1468038586809531,1468038594974407,1775212846454,0.16390835,9.065208,4.275376,3
android.sensor.gyroscope,1468038597591197,1468038604171073,1775212846463,0.09560034,0.11026109,0.023212861,3
android.sensor.accelerometer,1468038605805208,1468038615225865,1775212846474,0.13040884,9.005388,3.8183467,3
android.sensor.gyroscope,1468038621335729,1468038628238521,1775212846487,-0.008246674,0.07116575,0.035430156,3
android.sensor.accelerometer,1468038634298645,1468038642017896,1775212846501,0.20697916,8.7780695,3.5694933,3
android.sensor.gyroscope,1468038645080312,1468038652222063,1775212846511,-0.1084285,0.11514801,-0.0097738365,3
android.sensor.accelerometer,1468038662792135,1468038671451594,1775212846530,-0.09212367,8.88814,4.232305,3
android.sensor.gyroscope,1468038668824843,1468038675477584,1775212846534,-0.05589413,0.1395826,-0.008552107,3
android.sensor.gyroscope,1468038692569427,1468038701240032,1775212846560,0.047952887,0.12125666,0.03176497,3
android.sensor.accelerometer,1468038691285625,1468038701377219,1775212846560,-0.37208393,9.086744,3.964309,3
android.sensor.gyroscope,1468038716313958,1468038723247688,1775212846582,-0.07666353,0.17989968,0.10140356,3
android.sensor.accelerometer,1468038719779062,1468038727940240,1775212846586,-0.43908295,8.99821,3.437888,3
android.sensor.gyroscope,1468038740058541,1468038747204771,1775212846606,-0.15363249,0.27397284,0.17104214,3
android.sensor.accelerometer,1468038748272552,1468038756370084,1775212846615,-0.2117648,8.696713,4.4835515,3
